Category: All categories

Week,htc: (Zambia)
2017-05-14,55
2017-05-21,77
2017-05-28,64
2017-06-04,92
2017-06-11,46
2017-06-18,62
2017-06-25,99
2017-07-02,54
2017-07-09,74
2017-07-16,45
2017-07-23,75
2017-07-30,79
2017-08-06,88
2017-08-13,48
2017-08-20,49
2017-08-27,43
2017-09-03,57
2017-09-10,44
2017-09-17,44
2017-09-24,59
2017-10-01,44
2017-10-08,59
2017-10-15,61
2017-10-22,23
2017-10-29,36
2017-11-05,51
2017-11-12,14
2017-11-19,65
2017-11-26,52
2017-12-03,58
2017-12-10,73
2017-12-17,37
2017-12-24,82
2017-12-31,56
2018-01-07,62
2018-01-14,100
2018-01-21,38
2018-01-28,17
2018-02-04,44
2018-02-11,44
2018-02-18,33
2018-02-25,76
2018-03-04,43
2018-03-11,39
2018-03-18,54
2018-03-25,78
2018-04-01,55
2018-04-08,48
2018-04-15,44
2018-04-22,44
2018-04-29,38
2018-05-06,19
