Category: All categories
"samsung: (5/10/17 - 5/10/18, Zambia)"

TOP
samsung galaxy,100
samsung s8,25
samsung j5,24
samsung j7,24
samsung s6,23
samsung s4,23
samsung j1,18
samsung s5,17
samsung galaxy s8,15
samsung s3,13
samsung s7,12
samsung a5,10
samsung galaxy s6,9
samsung s9,8
samsung j3,8
samsung note 3,7
samsung a3,7
samsung z2,7
samsung a7,7
samsung s6 edge,7
samsung note 8,7
samsung account,6
samsung note 4,6
samsung j7 prime,6
samsung galaxy s7,5

RISING
samsung s9,Breakout
samsung note 8,Breakout
samsung galaxy s9,Breakout
samsung j7 pro,Breakout
samsung galaxy note 8,Breakout
samsung s6 edge,+500%
samsung galaxy s8,+400%
samsung s8,+150%
samsung galaxy s6 edge,+110%
samsung j7,+110%
samsung j7 prime,+90%
samsung s6,+50%
samsung j5,+50%
samsung z2,+40%

